symbol,signal_id,buy_surge_ratio,signal_time,signal_date,earliest_entry_time,signal_price,target_drop_pct,target_price,wait_deadline_utc,status,entry_time,entry_price,note
WAXPUSDT,WAXPUSDT_202603200000,161.11532535190304,2026-03-20 00:00:00,2026-03-20 00:00,2026-03-20 01:00:00,0.007038,0.0,0.007038,2026-03-25 01:00:00,entered,2026-03-20 01:05:00,0.007120,触发目标价并建仓（理论0.007038，实际0.007120）
ZETAUSDT,ZETAUSDT_202603200100,65.84591776068561,2026-03-20 01:00:00,2026-03-20 01:00,2026-03-20 02:00:00,0.0547,0.0,0.0547,2026-03-25 02:00:00,entered,2026-03-20 02:05:00,0.053900,触发目标价并建仓（理论0.054700，实际0.053900）
PHAUSDT,PHAUSDT_202603200200,38.05527424563983,2026-03-20 02:00:00,2026-03-20 02:00,2026-03-20 03:00:00,0.04193,0.0,0.04193,2026-03-25 03:00:00,entered,2026-03-20 03:05:00,0.041680,触发目标价并建仓（理论0.041930，实际0.041680）
GTCUSDT,GTCUSDT_202603200300,39.80305755012298,2026-03-20 03:00:00,2026-03-20 03:00,2026-03-20 04:00:00,0.09,0.0,0.09,2026-03-25 04:00:00,entered,2026-03-20 04:05:00,0.088000,触发目标价并建仓（理论0.090000，实际0.088000）
PLAYUSDT,PLAYUSDT_202603200900,45.399196742368645,2026-03-20 09:00:00,2026-03-20 09:00,2026-03-20 10:00:00,0.03755,0.0,0.03755,2026-03-25 10:00:00,entered,2026-03-20 10:05:00,0.036760,触发目标价并建仓（理论0.037550，实际0.036760）
ALICEUSDT,ALICEUSDT_202603201200,47.8637282170679,2026-03-20 12:00:00,2026-03-20 12:00,2026-03-20 13:00:00,0.124,0.0,0.124,2026-03-25 13:00:00,backtest_end_pending,,,回测区间在信号 deadline 之前结束，或仍在轮候队列中，未标记为等待窗口超时；若需观察完整窗口请延长 end_date。策略按卖量倍数排序轮候，非「触价限价」成交逻辑。
APRUSDT,APRUSDT_202603201300,31.06201725787856,2026-03-20 13:00:00,2026-03-20 13:00,2026-03-20 14:00:00,0.11315,0.0,0.11315,2026-03-25 14:00:00,backtest_end_pending,,,回测区间在信号 deadline 之前结束，或仍在轮候队列中，未标记为等待窗口超时；若需观察完整窗口请延长 end_date。策略按卖量倍数排序轮候，非「触价限价」成交逻辑。
GUAUSDT,GUAUSDT_202603201600,42.22534194157469,2026-03-20 16:00:00,2026-03-20 16:00,2026-03-20 17:00:00,0.30509,0.0,0.30509,2026-03-25 17:00:00,backtest_end_pending,,,回测区间在信号 deadline 之前结束，或仍在轮候队列中，未标记为等待窗口超时；若需观察完整窗口请延长 end_date。策略按卖量倍数排序轮候，非「触价限价」成交逻辑。
XAIUSDT,XAIUSDT_202603201700,54.0524134758459,2026-03-20 17:00:00,2026-03-20 17:00,2026-03-20 18:00:00,0.01098,0.0,0.01098,2026-03-25 18:00:00,backtest_end_pending,,,回测区间在信号 deadline 之前结束，或仍在轮候队列中，未标记为等待窗口超时；若需观察完整窗口请延长 end_date。策略按卖量倍数排序轮候，非「触价限价」成交逻辑。
FLUIDUSDT,FLUIDUSDT_202603210000,72.79677924159154,2026-03-21 00:00:00,2026-03-21 00:00,2026-03-21 01:00:00,2.331,0.0,2.331,2026-03-26 01:00:00,entered,2026-03-21 01:05:00,2.342000,触发目标价并建仓（理论2.331000，实际2.342000）
ORDERUSDT,ORDERUSDT_202603211000,122.78400479356863,2026-03-21 10:00:00,2026-03-21 10:00,2026-03-21 11:00:00,0.0548,0.0,0.0548,2026-03-26 11:00:00,entered,2026-03-21 11:05:00,0.055080,触发目标价并建仓（理论0.054800，实际0.055080）
LAUSDT,LAUSDT_202603211100,32.54361606971305,2026-03-21 11:00:00,2026-03-21 11:00,2026-03-21 12:00:00,0.2332,0.0,0.2332,2026-03-26 12:00:00,entered,2026-03-21 12:05:00,0.227200,触发目标价并建仓（理论0.233200，实际0.227200）
FOLKSUSDT,FOLKSUSDT_202603211200,38.96577068183589,2026-03-21 12:00:00,2026-03-21 12:00,2026-03-21 13:00:00,1.128,0.0,1.128,2026-03-26 13:00:00,entered,2026-03-21 13:05:00,1.133000,触发目标价并建仓（理论1.128000，实际1.133000）
SPELLUSDT,SPELLUSDT_202603211300,38.28916054407344,2026-03-21 13:00:00,2026-03-21 13:00,2026-03-21 14:00:00,0.0001766,0.0,0.0001766,2026-03-26 14:00:00,entered,2026-03-21 14:05:00,0.000178,触发目标价并建仓（理论0.000177，实际0.000178）
BRUSDT,BRUSDT_202603211300,35.24374735951964,2026-03-21 13:00:00,2026-03-21 13:00,2026-03-21 14:00:00,0.06656,0.0,0.06656,2026-03-26 14:00:00,backtest_end_pending,,,回测区间在信号 deadline 之前结束，或仍在轮候队列中，未标记为等待窗口超时；若需观察完整窗口请延长 end_date。策略按卖量倍数排序轮候，非「触价限价」成交逻辑。
BOBUSDT,BOBUSDT_202603212200,54.14715532801708,2026-03-21 22:00:00,2026-03-21 22:00,2026-03-21 23:00:00,0.0062,0.0,0.0062,2026-03-26 23:00:00,backtest_end_pending,,,回测区间在信号 deadline 之前结束，或仍在轮候队列中，未标记为等待窗口超时；若需观察完整窗口请延长 end_date。策略按卖量倍数排序轮候，非「触价限价」成交逻辑。
IMXUSDT,IMXUSDT_202603220000,62.87739889387049,2026-03-22 00:00:00,2026-03-22 00:00,2026-03-22 01:00:00,0.1664,0.0,0.1664,2026-03-27 01:00:00,entered,2026-03-22 01:05:00,0.161500,触发目标价并建仓（理论0.166400，实际0.161500）
TREEUSDT,TREEUSDT_202603221100,48.778536215554944,2026-03-22 11:00:00,2026-03-22 11:00,2026-03-22 12:00:00,0.06333,0.0,0.06333,2026-03-27 12:00:00,entered,2026-03-22 12:05:00,0.063320,触发目标价并建仓（理论0.063330，实际0.063320）
